,Name,Year,Height,Hometown/HS,Team
0,Alyssa Slagerman,Fr,5'7,"Brentwood, Ca",UCLA
1,Cami Sanchez,Fr,5'10,"Fountain Valley, Ca",UCLA
2,Chanti Holroyd,So,5-9,"Mountain View, California",UCLA
3,Elise Zappia,Sr,5'8,"Huntington Beach, California",UCLA
4,Hannah Phair,Fr,5'10,"Huntington Beach, Ca",UCLA
5,Izzy Carey,Jr,5-11,"Westlake Village, California",UCLA
6,Jamie McQuarrie,Fr,6'0,"Encinitas, Ca",UCLA
7,Lexi Jasper-Baylin,Sr,5'6,"El Cajon, Ca",UCLA
8,Lily Justine,So,5-10,"Chico, California",UCLA
9,Mac May,Fr,6'3,"Dubuque, IA",UCLA
10,Madi Yeomans,So,6-0,"Ocean Beach, California",UCLA
11,Megan McNamara,Jr,5-9,"Vancouver, BC, Canada",UCLA
12,Megan Muret,Fr,5'9,"Encinitas, Ca",UCLA
13,Nicole McNamara,Jr,5-9,"Vancouver, BC, Canada",UCLA
14,Remy Wilson,So,6'0,"Newport Beach, Ca",UCLA
15,Sarah Sponcil,Sr,5'10,"Phoenix, Az",UCLA
16,Savvy Simo,So,5'10,"Rancho Santa Fe, Ca",UCLA
17,Zana Muno,Jr,5'10,"Hermosa Beach, Ca",UCLA
0,Alaina Chacon,Fr,5'9,"Crown Point, Ind",Florida State
1,Ali Eager,Jr,5'11,"Southlake, Tx",Florida State
2,Ashley Robert,Fr,5'5,"McKinney, Tx",Florida State
3,Avery Poppinga,Fr,5'11,"Austin, Tx",Florida State
4,Bailey Reardon,Fr,5'9,"Milton, Ga",Florida State
5,Breana Edwards,R-Jr,6'3,"Jacksonville, Fl",Florida State
6,Brooke Kuhlman,Jr,5'10,"Naples, Fl",Florida State
7,Devan Hultquist,R-So,5'6,"Tallahassee, Fl",Florida State
8,Eva Torruella,R-So,6'0,"San Juan, Puerto Rico",Florida State
9,Francesca Goncalves,So,5'10,"Dallas, Tx",Florida State
10,Hailey Luke,R-Sr,6'0,"Altamonte Springs, Fl",Florida State
11,Katie Horton,R-Sr,6'1,"Westland, Mich",Florida State
12,Lauren Anderson,GS,6'0,"Peoria, Az",Florida State
13,Macy Jerger,Jr,6'1,"Fort Myers, Fl",Florida State
14,Madison Fitzpatrick,Fr,5'11,"Tallahassee, Fl",Florida State
15,Marielle Diaz,Fr,5'6,"Boca Raton, Fl",Florida State
16,Molly McBain,So,5'9,"Toronto, Canada",Florida State
17,Nikki Esposito,Jr,5'10,"Deerfield Beach, Fl",Florida State
18,Sara Putt,Jr,5'11,"Jupiter, Fl",Florida State
19,Vanessa Freire,Sr,5'10,"Windermere, Fl",Florida State
20,Victoria Paranagua,Sr,5'11,"Austin, Tx",Florida State
0,Abril Bustamante,Jr,6'0,"Redondo Beach, Ca",USC
1,Alexandra Poletto,GS,6'3,"Toronto, Canada",USC
2,Brianna Sizemore,Jr,6'1,"Carlsbad, Ca",USC
3,Cammie Dorn,So,6'1,"Laguna Beach, Ca",USC
4,Haley Hallgren,Fr,6'1,"Southlake, Tx",USC
5,Jenna Belton,Sr,6'1,"Aptos, Ca",USC
6,Jo Kremer,Sr,5'8,"Pacific Palisades, Ca",USC
7,Joy Dennis,So,6'1,"Cypress, Ca",USC
8,Katrina Kernochan,Jr,5'9,"Manhattan Beach, Ca",USC
9,Lainy Thomas,So,5'10,"Frisch, Tx",USC
10,Maja Kaiser,Fr,6'0,"Bulverde, Tx",USC
11,Peri Green,Fr,5'7,"Honolulu, Hi",USC
12,Sammy Slater,Fr,5'10,"Ventura, Ca",USC
13,Terese Cannon,Sr,6'3,"Pittsford, N.Y.",USC
14,Tina Graudina,Fr,6'0,"Jurmala, Latvia",USC
0,Allyssah Fitterer,GS,6'2,"Victoria, Canada",Hawaii
1,Amy Ozee,So,6'1,"Haiku, Hi",Hawaii
2,Arden Misraje,Fr,6'2,"Santa Monica, Ca",Hawaii
3,Ari Homayun,Jr,5'8,"Woodland Hills, Ca",Hawaii
4,Ashley Stevens,Fr,5'6,"Huntington Beach, Ca",Hawaii
5,Cali Bunn,So,6'0,"Encinitas, Ca",Hawaii
6,Carly Kan,Sr,5'9,"Honolulu, Hi",Hawaii
7,Chloe Luyties,So,5'9,"San Diego, Ca",Hawaii
8,Emily Maglio,Jr,6'3,"Coquitlam, B.C., Can",Hawaii
9,Hannah Zalopany,Sr,5'9,"Spokane, Wa",Hawaii
10,Hi'ilawe  Huddleston,Jr,5'9,"Oceanside, Ca",Hawaii
11,Jenna Banz,Fr,5'8,"Cambridge, Canada",Hawaii
12,Ka'iwi Schucht,Sr,5'9,"Escondido, Ca",Hawaii
13,Laurel Weaver,Sr,5'11,"Winnetka, Ca",Hawaii
14,Lea Monkhouse,Fr,6'0,"Mississauga, Canada",Hawaii
15,Morgan Martin,So,6'1,"Mission Viejo, Ca",Hawaii
16,Paige Dreeuws,Fr,5'7,"San Marcos, Ca",Hawaii
17,Pani Napoleon,Fr,5'7,"Chula Vista, Ca",Hawaii
18,Presley Forbes,Fr,5'4,"Manhattan Beach, Ca",Hawaii
19,Regan Hurkett,So,6'2,"Sedona, Ca",Hawaii
20,Sydney Kidd,So,5'8,"San Diego, Ca",Hawaii
0,Addison Hermstad,Fr,5'11,"Seal Beach, Ca",Tulane
1,Anna Chin,Jr,5'7,"Irvine, Ca",Tulane
2,Ashley Delgado,Fr,5'7,"Novato, Ca",Tulane
3,Briana Correa,Jr,5'10,"Fort Myers, Fl",Tulane
